tweet, category
"Next season could be a historic one for Larry Fitzgerald. He needs 390 receiving yards to pass Terrell Owens for the NFL’s second most all-time receiving yards, and 93 catches to pass Tony Gonzalez for second most all-time receptions.", 
"Larry Fitzgerald said he will return for the 2018 season.", 
"Florida football coach amongst those killed during Wednesday’s shooting:\n\nhttps://t.co/JZbUL4j677", 
"Here’s how long Sebastian Janikowski has been around Raiders? Al Davis drafted him No. 17 overall in 2000 draft. Then HC Jon Gruden favored WR Sylvester Morris or RB Shaun Alexander. Morris played one season in KC; Alexander played nine years and was NFL MVP for Seattle in 2005.", 
"Raiders informed kicker Sebastian Janikowski today that they do not plan to bring him back for the 2018 season, per source. An 18-year run with Raiders comes to an end.", 
"Jets officially announced these coaching hires:\n\n*Jeremy Bates promoted to OC/QB coach\n*Rick Dennison hired as OL coach/run game coordinator\n*Steve Jackson hired as asst. DB coach.", 
"49ers announced they have signed C Daniel Kilgore to a three-year contract extension through the 2020 season. To go along with the QB.", 
"Bengals signed former Giants’ OL Bobby Hart.", 
"Kicks off in late March... https://t.co/hKNZ1umv72", 
"Chiefs’ CB Kendall Fuller on the trade that sent him from Washington to KC, and Corey Clement and Brandon Graham on the afterglow of the Eagles' Super Bowl title:\n\nhttps://t.co/z1m0TWDcfd", 
"Chiefs do not plan to bring back Derrick Johnson; want to go younger at LB. So there’ will be one more veteran LB on the market. https://t.co/EbCDL0vBo9", 
"Chiefs' LB Derrick Johnson's contract voided after this season, and he now will become an unrestricted free agent. The 35-year-old Johnson, who made two game-changing plays in wild-card game vs. Titans that were nullified due to penalty, wants to play more seasons.", 
"Ravens and Bears will play in Thursday night Hall of Fame game in August.", 
"Colts’ owner Jim Irsay announced a $25,000 gift to establish the Edwin Jackson Memorial Scholarship, in honor of the Colts’ LB who lost his life Feb. 4 in a traffic accident. Scholarship will be awarded annually to a qualified student applicant.", 
"Cardinals announced they officially signed GM Steve Keim to a contract extension that ties him to Arizona through 2022.", 
"Former Colts’ Pro Bowl CB Vontae Davis, released over a medical issue in November and a free agent now, has been cleared from his core injury surgery done late in season, per source. Teams expected to have interest prior to free agency.", 
"Have an #AskAdam question for this week’s podcast? Please call 860-506-5779, leave your name and your question. Then check out this week’s show on Wednesday to see if you made the cut.", 
"Johnny Manziel tells @GMA he has bipolar disorder and is sober.... https://t.co/3YIt5sHWd2", 
"49ers’ LB Reuben Foster faces domestic violence and assault weapon charges:\n\nhttps://t.co/hwroVunDJZ", 
"For those who had any questions.... https://t.co/8p4493TCdE", 
"Colts make their new HC hiring official: https://t.co/z94OI2Suif", 
"It will be a 5-year deal for Frank Reich and the Colts, per @MikeGarafolo. Frank Reich will become the 1st Super Bowl-winning OC to become HC of a different team the following season since Mike Shanahan won Super Bowl with 1994 49ers and became Broncos’ HC. https://t.co/EUYwU8oLJA", 
"More on Eagles’ OC Frank Reich emerging as the favorite to become the Colts’ next HC (and they will wind up with a Super Bowl OC as their HC), via @mortreport and me:\n\nhttps://t.co/OQWXHyoXQ6", 
"So the Eagles now could wind up losing OC Frank Reich to go along with QB John DeFilippo, leaving holes in offensive coaching staff. The Super Bowl brain drain.", 
"Frank Reich has emerged as the favorite to become the new head coach of the Indianapolis Colts, who are hoping to hire the Philadelphia Eagles offensive coordinator once they have negotiated a signed, sealed and delivered contract, per @mortreport and me.", 
"Vikings denied permission for Giants to interview and hire their QB coach Kevin Stefanski as their OC, per league source. Stefanski stays in Minnesota, Giants still need an OC.", 
"Details on Jimmy Garoppolo deal: https://t.co/Lq0d1QBJwR", 
"Jimmy Garoppolo deal:\n\nSigning bonus: $7 million.\nGuaranteed roster bonus: $28M\n2018 base salary: $6.2M... https://t.co/Ii5w5J05zd", 
"Lions announced they have agreed to terms with General Manager Bob Quinn on an extension to his current contract. The extension matches the term of HC Matt Patricia’s new deal with the team - both tied to Detroit for five years.", 
"If Jimmy Garoppolo completes his new $137.5 million contact, he will earn more in five years than the $135.4 million that Tom Brady earned in his first 14 NFL seasons.", 
"Minutes ago, 49ers’ QB Jimmy Garoppolo  officially signed the 5-year, $137.5 million deal that @rajmathai and @MikeGarafolo reported on today. 49ers’ biggest off-season issue now resolved.", 
"Vikings are hiring former Eagles’ QB coach John DeFilippo as their OC, per source.\n\nSuper Bowl brain drain underway in Philadelphia.", 
"Kendall Fuller’s the new starting CB in KC. https://t.co/xGfUM6wvgc", 
"After the parade.... https://t.co/H4oqdvHGCK", 
"Hey, @wojespn: As the The Jump points out, 143 days till NBA free agency.", 
"Drew Brees, Kirk Cousins, Matt Ryan, Aaron Rodgers and any QB who's about to be paid in the near future thank Jimmy Garoppolo.", 
"When 49ers' QB Jimmy Garoppolo's 5-year deal gets finalized shortly, it will include the largest three-year cash total for a new contract in NFL history, just shy of $90 million, per source.", 
"Credit to both @rajmathai and @MikeGarafolo, who have reported 49ers have deal in place with QB Jimmy Garoppolo; seems like only a matter of time. High-ranking 49ers' official texted: \"Still working on it. Not done yet.\"", 
"Vikings officially requested permission to interview Eagles’ QB coach John DeFilippo about their OC job, per source.\n\nEagles OC Frank Reich interviews for Colts HC on Friday.\n\nSuper Bowl brain drain could be underway in Philadelphia.", 
"Russell Wilson was traded today for future considerations - from the Texas Rangers to the New York Yankees.", 
"So Colts’ HC interview schedule for now:\n\nSaints’ asst HC Dan Campbell interviews for job Thursday.\n\nEagles’ OC Frank Reich interviews for job Friday.", 
"Saints’ asst HC Dan Campbell will interview for Colts’ HC job Thursday, per source.", 
"Colts are expected to request permission for HC interviews with Eagles OC Frank Reich and Saints asst HC Dan Campbell, per sources.", 
"Steelers DB coach Carnell Lake has left the team to return to California and spend more time with his son during his last year of high school football.", 
"Colts' GM Chris Ballard wraps his press conference by saying, \"The rivalry is back on.\"", 
"Colts’ GM Chris Ballard is handling his press conference as well as he can. “We will get the right leader for the Indianapolis Colts,” he said. “I am very confident in this.”", 
"Colts are holding a press conference today - just GM Chris Ballard, 11 am, when he is expected to address team’s search for a new HC.", 
"Text this morning from an NFL executive: “I’m sure this is unpopular in our instant take world but good for Josh. It’s not his fault playoff system and interview window is as it is.”", 
"All the questions left for the Colts in the Josh McDaniels' fallout:\n\nhttps://t.co/63VneP8UHA https://t.co/8WNyTLmWdc", 
"On this week’s Adam Schefter podcast, new Hall of Famer Brian Dawkins gets emotional about what Eagles’ win means to Philadelphia, plus Jeffrey Lurie on his greatest influences:\n\nhttps://t.co/CHwnxsVhVM", 
"FWIW: On Sunday, ESPN's @mortreport reported there still are doctors who have concerns about Andrew Luck's shoulder and whether he could wind up needing additional surgery.", 
"Colts officially have cancelled Wednesday's press conference that was called to introduce Josh McDaniels as their HC.", 
"Former Cowboys’ asst HC/LB coach Matt Eberflus already has signed to become Colts’ defensive coordinator and former Illinois D-line coach Mike Phair has signed to become Indy’s D-line coach - and both will stay with Colts, whoever the HC is, per source.", 
